Serial Number,Area Name,Number Of Duties,Days,Time
184,Shivajinagar,116,Monday,15:00 to 16:00
185,Shivajinagar,111,Monday,16:00 to 17:00
186,Shivajinagar,159,Monday,17:00 to 18:00
187,Shivajinagar,110,Monday,18:00 to 19:00
188,Shivajinagar,154,Monday,19:00 to 20:00
189,Shivajinagar,91,Monday,20:00 to 21:00
190,Shivajinagar,123,Monday,21:00 to 22:00
191,Shivajinagar,84,Monday,22:00 to 23:00
192,Shivajinagar,111,Monday,23:00 to 00:00
193,Shivajinagar,69,Tuesday,00:00 to 01:00
194,Shivajinagar,90,Tuesday,01:00 to 02:00
195,Shivajinagar,56,Tuesday,02:00 to 03:00
196,Shivajinagar,81,Tuesday,03:00 to 04:00
197,Shivajinagar,65,Tuesday,04:00 to 05:00
198,Shivajinagar,92,Tuesday,05:00 to 06:00
199,Shivajinagar,123,Tuesday,06:00 to 07:00
200,Shivajinagar,128,Tuesday,07:00 to 08:00
201,Shivajinagar,109,Tuesday,08:00 to 09:00
202,Shivajinagar,157,Tuesday,09:00 to 10:00
203,Shivajinagar,100,Tuesday,10:00 to 11:00
204,Shivajinagar,96,Tuesday,11:00 to 12:00
205,Shivajinagar,114,Tuesday,12:00 to 13:00
206,Shivajinagar,117,Tuesday,13:00 to 14:00
207,Shivajinagar,97,Tuesday,14:00 to 15:00
208,Shivajinagar,89,Tuesday,15:00 to 16:00
209,Shivajinagar,82,Tuesday,16:00 to 17:00
210,Shivajinagar,170,Tuesday,17:00 to 18:00
211,Shivajinagar,163,Tuesday,18:00 to 19:00
212,Shivajinagar,121,Tuesday,19:00 to 20:00
213,Shivajinagar,72,Tuesday,20:00 to 21:00
214,Shivajinagar,130,Tuesday,21:00 to 22:00
215,Shivajinagar,85,Tuesday,22:00 to 23:00
216,Shivajinagar,77,Tuesday,23:00 to 00:00
217,Shivajinagar,60,Wednesday,00:00 to 01:00
218,Shivajinagar,52,Wednesday,01:00 to 02:00
219,Shivajinagar,90,Wednesday,02:00 to 03:00
220,Shivajinagar,57,Wednesday,03:00 to 04:00
221,Shivajinagar,80,Wednesday,04:00 to 05:00
222,Shivajinagar,70,Wednesday,05:00 to 06:00
223,Shivajinagar,126,Wednesday,06:00 to 07:00
224,Shivajinagar,71,Wednesday,07:00 to 08:00
225,Shivajinagar,158,Wednesday,08:00 to 09:00
226,Shivajinagar,128,Wednesday,09:00 to 10:00
227,Shivajinagar,117,Wednesday,10:00 to 11:00
228,Shivajinagar,122,Wednesday,11:00 to 12:00
229,Shivajinagar,116,Wednesday,12:00 to 13:00
230,Shivajinagar,72,Wednesday,13:00 to 14:00
231,Shivajinagar,123,Wednesday,14:00 to 15:00
232,Shivajinagar,119,Wednesday,15:00 to 16:00
233,Shivajinagar,79,Wednesday,16:00 to 17:00
234,Shivajinagar,162,Wednesday,17:00 to 18:00
235,Shivajinagar,165,Wednesday,18:00 to 19:00
236,Shivajinagar,157,Wednesday,19:00 to 20:00
237,Shivajinagar,98,Wednesday,20:00 to 21:00
238,Shivajinagar,79,Wednesday,21:00 to 22:00
239,Shivajinagar,115,Wednesday,22:00 to 23:00
240,Shivajinagar,73,Wednesday,23:00 to 00:00
241,Shivajinagar,75,Thursday,00:00 to 01:00
242,Shivajinagar,86,Thursday,01:00 to 02:00
243,Shivajinagar,79,Thursday,02:00 to 03:00
244,Shivajinagar,74,Thursday,03:00 to 04:00
245,Shivajinagar,79,Thursday,04:00 to 05:00
246,Shivajinagar,96,Thursday,05:00 to 06:00
247,Shivajinagar,126,Thursday,06:00 to 07:00
248,Shivajinagar,77,Thursday,07:00 to 08:00
249,Shivajinagar,100,Thursday,08:00 to 09:00
250,Shivajinagar,128,Thursday,09:00 to 10:00
251,Shivajinagar,127,Thursday,10:00 to 11:00
252,Shivajinagar,85,Thursday,11:00 to 12:00
253,Shivajinagar,96,Thursday,12:00 to 13:00
254,Shivajinagar,126,Thursday,13:00 to 14:00
255,Shivajinagar,125,Thursday,14:00 to 15:00
256,Shivajinagar,96,Thursday,15:00 to 16:00
257,Shivajinagar,128,Thursday,16:00 to 17:00
258,Shivajinagar,161,Thursday,17:00 to 18:00
259,Shivajinagar,129,Thursday,18:00 to 19:00
260,Shivajinagar,133,Thursday,19:00 to 20:00
261,Shivajinagar,123,Thursday,20:00 to 21:00
262,Shivajinagar,90,Thursday,21:00 to 22:00
263,Shivajinagar,91,Thursday,22:00 to 23:00
264,Shivajinagar,125,Thursday,23:00 to 00:00
265,Shivajinagar,55,Friday,00:00 to 01:00
266,Shivajinagar,79,Friday,01:00 to 02:00
267,Shivajinagar,65,Friday,02:00 to 03:00
268,Shivajinagar,67,Friday,03:00 to 04:00
269,Shivajinagar,52,Friday,04:00 to 05:00
270,Shivajinagar,97,Friday,05:00 to 06:00
271,Shivajinagar,84,Friday,06:00 to 07:00
272,Shivajinagar,110,Friday,07:00 to 08:00
273,Shivajinagar,133,Friday,08:00 to 09:00
274,Shivajinagar,148,Friday,09:00 to 10:00
275,Shivajinagar,159,Friday,10:00 to 11:00
276,Shivajinagar,114,Friday,11:00 to 12:00
277,Shivajinagar,126,Friday,12:00 to 13:00
278,Shivajinagar,121,Friday,13:00 to 14:00
279,Shivajinagar,113,Friday,14:00 to 15:00
280,Shivajinagar,123,Friday,15:00 to 16:00
281,Shivajinagar,97,Friday,16:00 to 17:00
282,Shivajinagar,116,Friday,17:00 to 18:00
283,Shivajinagar,153,Friday,18:00 to 19:00
284,Shivajinagar,131,Friday,19:00 to 20:00
285,Shivajinagar,73,Friday,20:00 to 21:00
286,Shivajinagar,115,Friday,21:00 to 22:00
287,Shivajinagar,96,Friday,22:00 to 23:00
288,Shivajinagar,84,Friday,23:00 to 00:00
289,Shivajinagar,91,Saturday,00:00 to 01:00
290,Shivajinagar,95,Saturday,01:00 to 02:00
291,Shivajinagar,129,Saturday,02:00 to 03:00
292,Shivajinagar,71,Saturday,03:00 to 04:00
293,Shivajinagar,73,Saturday,04:00 to 05:00
294,Shivajinagar,104,Saturday,05:00 to 06:00
295,Shivajinagar,105,Saturday,06:00 to 07:00
296,Shivajinagar,110,Saturday,07:00 to 08:00
297,Shivajinagar,107,Saturday,08:00 to 09:00
298,Shivajinagar,70,Saturday,09:00 to 10:00
299,Shivajinagar,116,Saturday,10:00 to 11:00
300,Shivajinagar,91,Saturday,11:00 to 12:00
301,Shivajinagar,127,Saturday,12:00 to 13:00
302,Shivajinagar,105,Saturday,13:00 to 14:00
303,Shivajinagar,96,Saturday,14:00 to 15:00
304,Shivajinagar,118,Saturday,15:00 to 16:00
305,Shivajinagar,112,Saturday,16:00 to 17:00
306,Shivajinagar,129,Saturday,17:00 to 18:00
307,Shivajinagar,108,Saturday,18:00 to 19:00
308,Shivajinagar,87,Saturday,19:00 to 20:00
309,Shivajinagar,101,Saturday,20:00 to 21:00
310,Shivajinagar,77,Saturday,21:00 to 22:00
311,Shivajinagar,150,Saturday,22:00 to 23:00
312,Shivajinagar,107,Saturday,23:00 to 00:00
313,Shivajinagar,95,Sunday,00:00 to 01:00
314,Shivajinagar,138,Sunday,01:00 to 02:00
315,Shivajinagar,134,Sunday,02:00 to 03:00
316,Shivajinagar,110,Sunday,03:00 to 04:00
317,Shivajinagar,79,Sunday,04:00 to 05:00
318,Shivajinagar,72,Sunday,05:00 to 06:00
319,Shivajinagar,107,Sunday,06:00 to 07:00
320,Shivajinagar,80,Sunday,07:00 to 08:00
321,Shivajinagar,82,Sunday,08:00 to 09:00
322,Shivajinagar,88,Sunday,09:00 to 10:00
323,Shivajinagar,117,Sunday,10:00 to 11:00
324,Shivajinagar,116,Sunday,11:00 to 12:00
325,Shivajinagar,90,Sunday,12:00 to 13:00
326,Shivajinagar,111,Sunday,13:00 to 14:00
327,Shivajinagar,116,Sunday,14:00 to 15:00
328,Shivajinagar,128,Sunday,15:00 to 16:00
329,Shivajinagar,124,Sunday,16:00 to 17:00
330,Shivajinagar,88,Sunday,17:00 to 18:00
331,Shivajinagar,96,Sunday,18:00 to 19:00
332,Shivajinagar,61,Sunday,19:00 to 20:00
333,Shivajinagar,100,Sunday,20:00 to 21:00
334,Shivajinagar,92,Sunday,21:00 to 22:00
335,Shivajinagar,101,Sunday,22:00 to 23:00
336,Shivajinagar,148,Sunday,23:00 to 00:00
337,Richmond Town,58,Monday,00:00 to 01:00
338,Richmond Town,68,Monday,01:00 to 02:00
339,Richmond Town,81,Monday,02:00 to 03:00
340,Richmond Town,87,Monday,03:00 to 04:00
341,Richmond Town,70,Monday,04:00 to 05:00
342,Richmond Town,83,Monday,05:00 to 06:00
343,Richmond Town,104,Monday,06:00 to 07:00
344,Richmond Town,104,Monday,07:00 to 08:00
345,Richmond Town,148,Monday,08:00 to 09:00
346,Richmond Town,148,Monday,09:00 to 10:00
347,Richmond Town,136,Monday,10:00 to 11:00
348,Richmond Town,83,Monday,11:00 to 12:00
349,Richmond Town,101,Monday,12:00 to 13:00
350,Richmond Town,108,Monday,13:00 to 14:00
351,Richmond Town,83,Monday,14:00 to 15:00
352,Richmond Town,74,Monday,15:00 to 16:00
353,Richmond Town,72,Monday,16:00 to 17:00
354,Richmond Town,123,Monday,17:00 to 18:00
355,Richmond Town,144,Monday,18:00 to 19:00
356,Richmond Town,162,Monday,19:00 to 20:00
357,Richmond Town,101,Monday,20:00 to 21:00
358,Richmond Town,81,Monday,21:00 to 22:00
359,Richmond Town,124,Monday,22:00 to 23:00
360,Richmond Town,114,Monday,23:00 to 00:00
361,Richmond Town,66,Tuesday,00:00 to 01:00
362,Richmond Town,64,Tuesday,01:00 to 02:00
363,Richmond Town,50,Tuesday,02:00 to 03:00
364,Richmond Town,75,Tuesday,03:00 to 04:00
365,Richmond Town,50,Tuesday,04:00 to 05:00
366,Richmond Town,90,Tuesday,05:00 to 06:00
367,Richmond Town,98,Tuesday,06:00 to 07:00
368,Richmond Town,92,Tuesday,07:00 to 08:00
369,Richmond Town,118,Tuesday,08:00 to 09:00
370,Richmond Town,158,Tuesday,09:00 to 10:00
371,Richmond Town,131,Tuesday,10:00 to 11:00
372,Richmond Town,94,Tuesday,11:00 to 12:00
373,Richmond Town,105,Tuesday,12:00 to 13:00
374,Richmond Town,91,Tuesday,13:00 to 14:00
375,Richmond Town,85,Tuesday,14:00 to 15:00
376,Richmond Town,113,Tuesday,15:00 to 16:00
377,Richmond Town,113,Tuesday,16:00 to 17:00
378,Richmond Town,135,Tuesday,17:00 to 18:00
379,Richmond Town,134,Tuesday,18:00 to 19:00
380,Richmond Town,164,Tuesday,19:00 to 20:00
381,Richmond Town,88,Tuesday,20:00 to 21:00
382,Richmond Town,77,Tuesday,21:00 to 22:00
383,Richmond Town,98,Tuesday,22:00 to 23:00
384,Richmond Town,78,Tuesday,23:00 to 00:00
385,Richmond Town,83,Wednesday,00:00 to 01:00
386,Richmond Town,50,Wednesday,01:00 to 02:00
387,Richmond Town,90,Wednesday,02:00 to 03:00
388,Richmond Town,72,Wednesday,03:00 to 04:00
389,Richmond Town,76,Wednesday,04:00 to 05:00
390,Richmond Town,111,Wednesday,05:00 to 06:00
391,Richmond Town,82,Wednesday,06:00 to 07:00
392,Richmond Town,111,Wednesday,07:00 to 08:00
393,Richmond Town,106,Wednesday,08:00 to 09:00
394,Richmond Town,132,Wednesday,09:00 to 10:00
395,Richmond Town,124,Wednesday,10:00 to 11:00
396,Richmond Town,115,Wednesday,11:00 to 12:00
397,Richmond Town,97,Wednesday,12:00 to 13:00
398,Richmond Town,113,Wednesday,13:00 to 14:00
399,Richmond Town,114,Wednesday,14:00 to 15:00
400,Richmond Town,87,Wednesday,15:00 to 16:00
401,Richmond Town,103,Wednesday,16:00 to 17:00
402,Richmond Town,136,Wednesday,17:00 to 18:00
403,Richmond Town,123,Wednesday,18:00 to 19:00
404,Richmond Town,155,Wednesday,19:00 to 20:00
405,Richmond Town,108,Wednesday,20:00 to 21:00
406,Richmond Town,122,Wednesday,21:00 to 22:00
407,Richmond Town,97,Wednesday,22:00 to 23:00
408,Richmond Town,126,Wednesday,23:00 to 00:00
409,Richmond Town,59,Thursday,00:00 to 01:00
410,Richmond Town,89,Thursday,01:00 to 02:00
411,Richmond Town,84,Thursday,02:00 to 03:00
412,Richmond Town,84,Thursday,03:00 to 04:00
413,Richmond Town,52,Thursday,04:00 to 05:00
414,Richmond Town,99,Thursday,05:00 to 06:00
415,Richmond Town,89,Thursday,06:00 to 07:00
416,Richmond Town,81,Thursday,07:00 to 08:00
417,Richmond Town,157,Thursday,08:00 to 09:00
418,Richmond Town,148,Thursday,09:00 to 10:00
419,Richmond Town,149,Thursday,10:00 to 11:00
420,Richmond Town,93,Thursday,11:00 to 12:00
421,Richmond Town,122,Thursday,12:00 to 13:00
422,Richmond Town,83,Thursday,13:00 to 14:00
423,Richmond Town,130,Thursday,14:00 to 15:00
424,Richmond Town,75,Thursday,15:00 to 16:00
425,Richmond Town,106,Thursday,16:00 to 17:00
426,Richmond Town,122,Thursday,17:00 to 18:00
427,Richmond Town,138,Thursday,18:00 to 19:00
428,Richmond Town,166,Thursday,19:00 to 20:00
429,Richmond Town,102,Thursday,20:00 to 21:00
430,Richmond Town,87,Thursday,21:00 to 22:00
431,Richmond Town,71,Thursday,22:00 to 23:00
432,Richmond Town,95,Thursday,23:00 to 00:00
433,Richmond Town,62,Friday,00:00 to 01:00
434,Richmond Town,56,Friday,01:00 to 02:00
435,Richmond Town,81,Friday,02:00 to 03:00
436,Richmond Town,69,Friday,03:00 to 04:00
437,Richmond Town,61,Friday,04:00 to 05:00
438,Richmond Town,70,Friday,05:00 to 06:00
439,Richmond Town,127,Friday,06:00 to 07:00
440,Richmond Town,87,Friday,07:00 to 08:00
441,Richmond Town,158,Friday,08:00 to 09:00
442,Richmond Town,100,Friday,09:00 to 10:00
443,Richmond Town,157,Friday,10:00 to 11:00
444,Richmond Town,129,Friday,11:00 to 12:00
445,Richmond Town,80,Friday,12:00 to 13:00
446,Richmond Town,127,Friday,13:00 to 14:00
447,Richmond Town,107,Friday,14:00 to 15:00
448,Richmond Town,129,Friday,15:00 to 16:00
449,Richmond Town,103,Friday,16:00 to 17:00
450,Richmond Town,161,Friday,17:00 to 18:00
451,Richmond Town,124,Friday,18:00 to 19:00
452,Richmond Town,165,Friday,19:00 to 20:00
453,Richmond Town,130,Friday,20:00 to 21:00
454,Richmond Town,110,Friday,21:00 to 22:00
455,Richmond Town,119,Friday,22:00 to 23:00
456,Richmond Town,115,Friday,23:00 to 00:00
457,Richmond Town,108,Saturday,00:00 to 01:00
458,Richmond Town,149,Saturday,01:00 to 02:00
459,Richmond Town,117,Saturday,02:00 to 03:00
460,Richmond Town,81,Saturday,03:00 to 04:00
461,Richmond Town,95,Saturday,04:00 to 05:00
462,Richmond Town,66,Saturday,05:00 to 06:00
463,Richmond Town,66,Saturday,06:00 to 07:00
464,Richmond Town,80,Saturday,07:00 to 08:00
465,Richmond Town,62,Saturday,08:00 to 09:00
466,Richmond Town,105,Saturday,09:00 to 10:00
467,Richmond Town,123,Saturday,10:00 to 11:00
468,Richmond Town,111,Saturday,11:00 to 12:00
469,Richmond Town,107,Saturday,12:00 to 13:00
470,Richmond Town,82,Saturday,13:00 to 14:00
471,Richmond Town,100,Saturday,14:00 to 15:00
472,Richmond Town,113,Saturday,15:00 to 16:00
473,Richmond Town,130,Saturday,16:00 to 17:00
474,Richmond Town,100,Saturday,17:00 to 18:00
475,Richmond Town,129,Saturday,18:00 to 19:00
476,Richmond Town,95,Saturday,19:00 to 20:00
477,Richmond Town,104,Saturday,20:00 to 21:00
478,Richmond Town,63,Saturday,21:00 to 22:00
479,Richmond Town,90,Saturday,22:00 to 23:00
480,Richmond Town,101,Saturday,23:00 to 00:00
481,Richmond Town,131,Sunday,00:00 to 01:00
482,Richmond Town,122,Sunday,01:00 to 02:00
483,Richmond Town,135,Sunday,02:00 to 03:00
484,Richmond Town,106,Sunday,03:00 to 04:00
485,Richmond Town,84,Sunday,04:00 to 05:00
486,Richmond Town,60,Sunday,05:00 to 06:00
487,Richmond Town,79,Sunday,06:00 to 07:00
488,Richmond Town,92,Sunday,07:00 to 08:00
489,Richmond Town,68,Sunday,08:00 to 09:00
490,Richmond Town,86,Sunday,09:00 to 10:00
491,Richmond Town,117,Sunday,10:00 to 11:00
492,Richmond Town,83,Sunday,11:00 to 12:00
493,Richmond Town,111,Sunday,12:00 to 13:00
494,Richmond Town,88,Sunday,13:00 to 14:00
495,Richmond Town,116,Sunday,14:00 to 15:00
496,Richmond Town,106,Sunday,15:00 to 16:00
497,Richmond Town,116,Sunday,16:00 to 17:00
498,Richmond Town,113,Sunday,17:00 to 18:00
499,Richmond Town,111,Sunday,18:00 to 19:00
500,Richmond Town,103,Sunday,19:00 to 20:00
501,Richmond Town,106,Sunday,20:00 to 21:00
502,Richmond Town,86,Sunday,21:00 to 22:00
503,Richmond Town,112,Sunday,22:00 to 23:00
504,Richmond Town,120,Sunday,23:00 to 00:00
505,Vasanth Nagar,80,Monday,00:00 to 01:00
506,Vasanth Nagar,82,Monday,01:00 to 02:00
507,Vasanth Nagar,85,Monday,02:00 to 03:00
508,Vasanth Nagar,60,Monday,03:00 to 04:00
509,Vasanth Nagar,63,Monday,04:00 to 05:00
510,Vasanth Nagar,83,Monday,05:00 to 06:00
511,Vasanth Nagar,108,Monday,06:00 to 07:00
512,Vasanth Nagar,98,Monday,07:00 to 08:00
513,Vasanth Nagar,115,Monday,08:00 to 09:00
514,Vasanth Nagar,160,Monday,09:00 to 10:00
515,Vasanth Nagar,135,Monday,10:00 to 11:00
516,Vasanth Nagar,87,Monday,11:00 to 12:00
517,Vasanth Nagar,110,Monday,12:00 to 13:00
518,Vasanth Nagar,90,Monday,13:00 to 14:00
519,Vasanth Nagar,70,Monday,14:00 to 15:00
520,Vasanth Nagar,129,Monday,15:00 to 16:00
521,Vasanth Nagar,130,Monday,16:00 to 17:00
522,Vasanth Nagar,113,Monday,17:00 to 18:00
523,Vasanth Nagar,137,Monday,18:00 to 19:00
524,Vasanth Nagar,130,Monday,19:00 to 20:00
525,Vasanth Nagar,108,Monday,20:00 to 21:00
526,Vasanth Nagar,103,Monday,21:00 to 22:00
527,Vasanth Nagar,129,Monday,22:00 to 23:00
528,Vasanth Nagar,96,Monday,23:00 to 00:00
529,Vasanth Nagar,71,Tuesday,00:00 to 01:00
530,Vasanth Nagar,53,Tuesday,01:00 to 02:00
531,Vasanth Nagar,69,Tuesday,02:00 to 03:00
532,Vasanth Nagar,54,Tuesday,03:00 to 04:00
533,Vasanth Nagar,87,Tuesday,04:00 to 05:00
534,Vasanth Nagar,91,Tuesday,05:00 to 06:00
535,Vasanth Nagar,72,Tuesday,06:00 to 07:00
536,Vasanth Nagar,95,Tuesday,07:00 to 08:00
537,Vasanth Nagar,150,Tuesday,08:00 to 09:00
538,Vasanth Nagar,108,Tuesday,09:00 to 10:00
539,Vasanth Nagar,141,Tuesday,10:00 to 11:00
